,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,函館,函館,函館,函館,函館,函館,函館,大阪,大阪,大阪,大阪,大阪,大阪,大阪,福岡,福岡,福岡,福岡,福岡,福岡,福岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡
年月,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2024/1,7.5,8,1,37.5,8,1,-0.2,8,1,101.0,0,8,1,7.1,8,1,23.5,0,8,1,8.3,8,1,80.5,0,8,1,8.7,8,1,66.0,0,8,1
2024/2,8.0,8,1,58.0,8,1,-0.4,8,1,21.0,0,8,1,8.4,8,1,92.5,0,8,1,9.9,8,1,168.0,0,8,1,10.1,8,1,248.5,0,8,1
2024/3,9.6,8,1,153.5,8,1,1.8,8,1,76.0,0,8,1,9.5,8,1,154.5,0,8,1,11.5,8,1,139.5,0,8,1,11.1,8,1,433.0,0,8,1
2024/4,16.7,8,1,90.5,8,1,10.4,8,1,29.5,0,8,1,17.8,8,1,150.5,0,8,1,17.6,8,1,171.5,0,8,1,17.6,8,1,210.0,0,8,1
2024/5,19.6,8,1,153.5,8,1,14.0,8,1,105.5,0,8,1,19.4,8,1,205.5,0,8,1,20.2,8,1,119.5,0,8,1,19.9,8,1,409.0,0,8,1
2024/6,22.9,8,1,277.0,8,1,18.4,8,1,59.5,0,8,1,23.9,8,1,297.0,0,8,1,23.9,8,1,234.5,0,8,1,23.4,8,1,433.5,0,8,1
2024/7,28.0,8,1,153.5,8,1,22.8,8,1,143.0,0,8,1,29.6,8,1,165.0,0,8,1,29.9,8,1,195.0,0,8,1,29.3,8,1,173.5,0,8,1
2024/8,29.0,8,1,173.5,8,1,24.7,8,1,223.0,0,8,1,30.4,8,1,162.5,0,8,1,30.5,8,1,225.0,0,8,1,28.8,8,1,1071.0,0,8,1
2024/9,26.5,8,1,94.0,8,1,20.5,8,1,21.5,0,8,1,28.6,8,1,94.5,0,8,1,28.8,8,1,115.5,0,8,1,27.5,8,1,145.0,0,8,1
2024/10,20.8,8,1,128.0,8,1,14.5,8,1,152.5,0,8,1,22.1,8,1,116.5,0,8,1,22.0,8,1,140.0,0,8,1,22.1,8,1,326.0,0,8,1
2024/11,14.2,8,1,78.0,8,1,6.4,8,1,72.0,0,8,1,15.1,8,1,122.0,0,8,1,15.7,8,1,352.5,0,8,1,16.0,8,1,238.0,0,8,1
2024/12,8.7,8,1,0.0,8,1,-1.3,8,1,56.0,0,8,1,8.6,8,1,6.0,0,8,1,9.1,8,1,29.5,0,8,1,9.3,8,1,0.0,0,8,1
